tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
medaka_CP010170.1,medaka,11,16045.0,0.7971482511923689,0.7924916895505076
nanopolish_NC_011993.1,nanopolish,11,14675.0,0.7290838632750397,0.7362696921520354
nanopolish_NC_022648.1,nanopolish,11,15896.999999999998,0.7897953100158982,0.7992394132099787
nanopolish_CP010121.1,nanopolish,11,16494.0,0.8194554848966613,0.8224318904465802
nanopolish_NZ_LM995446.1,nanopolish,11,15477.0,0.7689288553259142,0.7770089608324756
nanopolish_NZ_LT632320.1,nanopolish,11,16087.0,0.7992348966613673,0.8044289275906689
nanopolish_NZ_CP018109.1,nanopolish,11,16330.0,0.8113076311605724,0.815223478826399
nanopolish_NC_017646.1,nanopolish,11,17470.0,0.8679451510333863,0.8748870862841283
nanopolish_CP018206.1,nanopolish,11,17361.0,0.8625298092209857,0.8687490966902597
nanopolish_NZ_CP011134.1,nanopolish,11,17484.0,0.8686406995230525,0.8735230885965849
nanopolish_NZ_CP008697.1,nanopolish,11,18380.0,0.9131558028616852,0.9183227344991884
nanopolish_CP010230.1,nanopolish,11,16224.0,0.8060413354531002,0.8105036855036691
nanopolish_NC_010498.1,nanopolish,11,17657.0,0.8772356915739269,0.8798327070385724
nanopolish_NZ_CP015228.1,nanopolish,11,16977.0,0.8434519077901431,0.8470877294406447
nanopolish_NZ_CP009859.1,nanopolish,11,18405.000000000004,0.9143978537360892,0.9181194898106461
nanopolish_NZ_HG941718.1,nanopolish,11,16130.0,0.8013712241653418,0.8065381558028384
nanopolish_CU928163.2,nanopolish,11,17201.0,0.8545806836248012,0.8580087440381388
nanopolish_NC_011742.1,nanopolish,11,15950.0,0.7924284578696343,0.7951203208555939
nanopolish_CP010171.1,nanopolish,11,15556.999999999998,0.7729034181240063,0.7791498048850783
nanopolish_NC_007779.1,nanopolish,11,15647.0,0.7773748012718601,0.7851703642144673
nanopolish_NZ_CP016007.1,nanopolish,11,14736.000000000002,0.7321144674085851,0.7393996603555305
nanopolish_NZ_CP013483.1,nanopolish,11,15944.0,0.7921303656597775,0.7988780893192438
nanopolish_CP010116.1,nanopolish,11,16752.0,0.8322734499205088,0.8375803945656763
nanopolish_CP010226.1,nanopolish,11,14999.0,0.7451808426073132,0.7511155875126266
nanopolish_CP010170.1,nanopolish,11,15458.0,0.7679848966613673,0.7734183046682864
pandora_nanopore_withdenovo,pandora with denovo,12,11704.0,0.8112566715186803,0.8460467641690306
medaka_NC_011993.1,medaka,12,9567.0,0.6631316281971303,0.6552355537071762
medaka_NC_022648.1,medaka,12,10467.0,0.7255146600124766,0.7183579399736661
medaka_CP010121.1,medaka,12,11760.0,0.8151382823871907,0.8098357246828903
medaka_NZ_LM995446.1,medaka,12,10641.0,0.7375753794967769,0.7323479124789164
medaka_NZ_LT632320.1,medaka,12,10583.0,0.7335551396686768,0.7240417273168493
medaka_NZ_CP018109.1,medaka,12,11585.0,0.8030082484230956,0.7943381622420922
medaka_NC_017646.1,medaka,12,13161.000000000002,0.9122478685797464,0.9043517940897834
medaka_CP018206.1,medaka,12,12496.0,0.8661537395161849,0.8593089346364429
medaka_NZ_CP011134.1,medaka,12,12937.0,0.8967214251057046,0.8667371363877253
medaka_NZ_CP008697.1,medaka,12,13699.0,0.9495390587093644,0.941492802846512
medaka_CP010230.1,medaka,12,11586.0,0.8030775629028905,0.7961114576835092
medaka_NC_010498.1,medaka,12,12916.999999999998,0.8953351355098079,0.8873177606802037
medaka_NZ_CP015228.1,medaka,12,12249.0,0.8490330630068621,0.8408077447378739
medaka_NZ_CP009859.1,medaka,12,13644.0,0.9457267623206488,0.9366465654675228
medaka_NZ_HG941718.1,medaka,12,10578.0,0.7332085672697026,0.7240763845567446
