tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
snippy_CP010121.1,snippy,12,11246.0,0.7795106397726486,0.7904912086134788
snippy_NZ_LM995446.1,snippy,12,10068.0,0.6978581825743397,0.7089022896883166
snippy_NZ_LT632320.1,snippy,12,9498.0,0.6583489290912872,0.6831346318245913
snippy_NZ_CP018109.1,snippy,12,10922.0,0.7570527483191238,0.769350292276057
snippy_NC_017646.1,snippy,12,12625.0,0.8750953074097179,0.8863358055497769
snippy_CP018206.1,snippy,12,11924.0,0.8265058570735426,0.8402416764862183
snippy_NZ_CP011134.1,snippy,12,12233.0,0.8479240313301448,0.8634273699775862
snippy_NZ_CP008697.1,snippy,12,13183.0,0.9137727871352326,0.9240197777315649
snippy_CP010230.1,snippy,12,10888.0,0.7546960560060997,0.7678484785471682
snippy_NC_010498.1,snippy,12,12394.0,0.8590836625771123,0.8680714401238396
snippy_NZ_CP015228.1,snippy,12,11499.0,0.7970472031607403,0.8085071971534847
snippy_NZ_CP009859.1,snippy,12,13096.999999999998,0.9078117418728772,0.916637785633416
snippy_NZ_HG941718.1,snippy,12,9771.0,0.6772717820752755,0.689546221205609
snippy_CU928163.2,snippy,12,11958.0,0.8288625493865669,0.8403456482059086
snippy_NC_011742.1,snippy,12,9848.0,0.6826089970194774,0.6934682655206672
snippy_CP010171.1,snippy,12,10387.0,0.7199695016288903,0.7306381553106457
snippy_NC_007779.1,snippy,12,10318.0,0.7151868025230471,0.7262309096370236
snippy_NZ_CP016007.1,snippy,12,8887.0,0.6159977819366466,0.6269032600910331
snippy_NZ_CP013483.1,snippy,12,10715.0,0.7427046510015942,0.7559321642291066
snippy_CP010116.1,snippy,12,11583.0,0.8028696194635059,0.8170213257549506
snippy_CP010226.1,snippy,12,9880.0,0.6848270603729119,0.6949931840761548
snippy_CP010170.1,snippy,12,10463.0,0.7252374020932973,0.7332374483029506
samtools_NC_011993.1,samtools,12,9050.0,0.6272960421432037,0.6334823594648937
samtools_NC_022648.1,samtools,12,9938.0,0.688847300201012,0.6947217023636229
samtools_CP010121.1,samtools,12,11419.0,0.7915020447771539,0.7976017189990982
samtools_NZ_LM995446.1,samtools,12,10252.0,0.7106120468565883,0.7162149673066711
samtools_NZ_LT632320.1,samtools,12,10061.000000000002,0.6973729812157761,0.6996199256024602
samtools_NZ_CP018109.1,samtools,12,11175.0,0.7745893117072157,0.7793084725399153
samtools_NC_017646.1,samtools,12,12839.0,0.8899286060858114,0.893919964880663
samtools_CP018206.1,samtools,12,12158.0,0.8427254453455327,0.8476525496176145
samtools_NZ_CP011134.1,samtools,12,12552.0,0.8700353503846954,0.8740036043529481
samtools_NZ_CP008697.1,samtools,12,13372.999999999998,0.92694253829625,0.9322219911739534
samtools_CP010230.1,samtools,12,11097.000000000002,0.7691827822832191,0.7752766802985143
samtools_NC_010498.1,samtools,12,12588.0,0.8725306716573092,0.8767530787181457
samtools_NZ_CP015228.1,samtools,12,11769.0,0.8157621127053442,0.8183267484577529
samtools_NZ_CP009859.1,samtools,12,13307.0,0.9223677826297914,0.9259259259259242
samtools_NZ_HG941718.1,samtools,12,10055.000000000002,0.6969570943370071,0.7006769714193287
samtools_CU928163.2,samtools,12,12167.999999999998,0.8434185901434809,0.8482763799357681
samtools_NC_011742.1,samtools,12,10127.0,0.7019477368822347,0.7054481181118757
samtools_CP010171.1,samtools,12,10578.0,0.7332085672697026,0.7386786349668449
samtools_NC_007779.1,samtools,12,10496.0,0.7275247799265266,0.7335204824287797
samtools_NZ_CP016007.1,samtools,12,9099.0,0.6306924516531504,0.6385134354566687
samtools_NZ_CP013483.1,samtools,12,10936.0,0.7580231510362515,0.7654571289942472
samtools_CP010116.1,samtools,12,11777.0,0.8163166285437028,0.8234617961692192
samtools_CP010226.1,samtools,12,10041.0,0.6959866916198794,0.7019650655021845
samtools_CP010170.1,samtools,12,10622.0,0.7362584043806751,0.7409082507335786
