tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
snippy_NZ_CP011134.1,snippy,9,13787.0,0.7404801546807025,0.7757249166024985
snippy_NZ_CP008697.1,snippy,9,14238.0,0.7647027230248671,0.7891520609174462
snippy_CP010230.1,snippy,9,12491.0,0.6708738385520168,0.6902327968443136
snippy_NC_010498.1,snippy,9,13368.999999999998,0.7180299693861109,0.7400027451050466
snippy_NZ_CP015228.1,snippy,9,13433.0,0.7214673183307374,0.7513412225265523
snippy_NZ_CP009859.1,snippy,9,14179.0,0.7615339169665396,0.7871946816573108
snippy_NZ_HG941718.1,snippy,9,13436.0,0.7216284440625168,0.7441144350752691
snippy_CU928163.2,snippy,9,12507.0,0.6717331757881734,0.6998167940753354
snippy_NC_011742.1,snippy,9,13356.0,0.7173317578817338,0.7380692363236933
snippy_CP010171.1,snippy,9,11914.0,0.6398839894731189,0.6581270028823526
snippy_NC_007779.1,snippy,9,12169.0,0.6535796766743649,0.6723359053774142
snippy_NZ_CP016007.1,snippy,9,12251.0,0.6579837800096675,0.6780946583836038
snippy_NZ_CP013483.1,snippy,9,12559.0,0.6745260218056823,0.6993871254572575
snippy_CP010116.1,snippy,9,12517.0,0.6722702615607713,0.7005269408191036
snippy_CP010226.1,snippy,9,11619.0,0.6240399591814813,0.6406597800335296
snippy_CP010170.1,snippy,9,12091.0,0.6493904076481014,0.6630085157932979
samtools_NC_011993.1,samtools,9,12350.0,0.6633009291583866,0.6740187741315588
samtools_NC_022648.1,samtools,9,13812.0,0.7418228691121972,0.7535492418139075
samtools_CP010121.1,samtools,9,12346.0,0.6630860948493474,0.6765908182203312
samtools_NZ_LM995446.1,samtools,9,12378.0,0.6648047693216607,0.67568374002661
samtools_NZ_LT632320.1,samtools,9,13910.0,0.7470863096836565,0.756401764028372
samtools_NZ_CP018109.1,samtools,9,13617.0,0.7313496965465385,0.7466089001080036
samtools_NC_017646.1,samtools,9,13222.0,0.7101348085289221,0.7226668098895312
samtools_CP018206.1,samtools,9,13650.0,0.7331220795961115,0.7463164867429255
samtools_NZ_CP011134.1,samtools,9,14442.0,0.7756592727858639,0.7892594780719697
samtools_NZ_CP008697.1,samtools,9,14708.0,0.7899457543369676,0.802125666135537
samtools_CP010230.1,samtools,9,12805.0,0.6877383318115903,0.7001509807782932
samtools_NC_010498.1,samtools,9,13833.0,0.7429507492346528,0.7545637371621479
samtools_NZ_CP015228.1,samtools,9,14058.0,0.7550351791181051,0.7669525156500699
samtools_NZ_CP009859.1,samtools,9,14703.0,0.7896772114506687,0.8012006850827308
samtools_NZ_HG941718.1,samtools,9,13902.999999999998,0.7467103496428379,0.7565927278586297
samtools_CU928163.2,samtools,9,13139.0,0.7056769966163596,0.7150401919186429
samtools_NC_011742.1,samtools,9,13907.999999999998,0.7469788925291369,0.7553932362998261
samtools_CP010171.1,samtools,9,12233.0,0.6570170256189913,0.6679616401405927
samtools_NC_007779.1,samtools,9,12478.0,0.6701756270476396,0.6808636339223318
samtools_NZ_CP016007.1,samtools,9,12643.0,0.6790375422955046,0.691211486474384
samtools_NZ_CP013483.1,samtools,9,12942.0,0.6950964068961814,0.7090128960261546
samtools_CP010116.1,samtools,9,12913.0,0.6935388581556474,0.7095261113199691
samtools_CP010226.1,samtools,9,11897.0,0.6389709436597024,0.6487638075800651
samtools_CP010170.1,samtools,9,12391.0,0.6655029808260379,0.6723717110955909
pandora_illumina_withdenovo_global_genotyping,pandora with denovo,10,16807.0,0.8148848484848484,0.8562327272727249
snippy_NC_011993.1,snippy,10,13986.0,0.6781090909090909,0.6899490909090853
snippy_NC_022648.1,snippy,10,15219.999999999998,0.7379393939393939,0.7565624242424114
snippy_CP010121.1,snippy,10,15950.0,0.7733333333333333,0.7861769696969655
snippy_NZ_LM995446.1,snippy,10,14206.0,0.6887757575757576,0.7016727272727222
snippy_NZ_LT632320.1,snippy,10,15081.0,0.7312,0.7582012121212052
snippy_NZ_CP018109.1,snippy,10,15521.999999999998,0.7525818181818181,0.7686787878787764
snippy_NC_017646.1,snippy,10,16263.0,0.7885090909090909,0.8079612121212036
