tool_category,coverage_threshold,strand_bias_threshold,gaps_threshold,error_rate,recalls_wrt_variants_found_wrt_alleles,tool
medaka,0,Not_App,Not_App,0.1747748849344274,0.7657173146661063,medaka_NC_011993.1
nanopolish,0,Not_App,Not_App,0.0320487771500591,0.7812728067067775,nanopolish_NZ_LT632320.1
nanopolish,0,Not_App,Not_App,0.0297872845732017,0.8015409590225145,nanopolish_CU928163.2
nanopolish,0,Not_App,Not_App,0.0348375434386428,0.7932462679394985,nanopolish_CP018206.1
medaka,0,Not_App,Not_App,0.1889375992964802,0.8053986558493239,medaka_NZ_LT632320.1
medaka,0,Not_App,Not_App,0.1679459370997925,0.7774092484293579,medaka_CP010230.1
nanopolish,0,Not_App,Not_App,0.0241087243772132,0.7416484275929233,nanopolish_CP010170.1
medaka,0,Not_App,Not_App,0.1951874254507385,0.8439117187555988,medaka_NZ_CP009859.1
medaka,0,Not_App,Not_App,0.1692631241566488,0.7411140643753763,medaka_CP010226.1
medaka,0,Not_App,Not_App,0.1835571533378008,0.806057362318058,medaka_NC_022648.1
nanopolish,0,Not_App,Not_App,0.0301848458257245,0.7606646317775271,nanopolish_CP010116.1
medaka,0,Not_App,Not_App,0.1699106648276338,0.7734859163833392,medaka_NZ_CP013483.1
pandora_nanopore_withdenovo,0,0.0,1.0,0.0029150489302025,0.8551301199447001,pandora_nanopore_withdenovo
medaka,0,Not_App,Not_App,0.18486838616929,0.8240591145263384,medaka_CU928163.2
nanopolish,0,Not_App,Not_App,0.0269009281244331,0.7726685405407477,nanopolish_CP010121.1
medaka,0,Not_App,Not_App,0.185713471554178,0.8067796524685884,medaka_NZ_HG941718.1
nanopolish,0,Not_App,Not_App,0.0291673213922361,0.7529407574665675,nanopolish_NZ_CP013483.1
nanopolish,0,Not_App,Not_App,0.0316488221806711,0.7811464028640892,nanopolish_NC_022648.1
medaka,0,Not_App,Not_App,0.1476653897186151,0.7485865899808956,medaka_NZ_LM995446.1
medaka,0,Not_App,Not_App,0.1841645977909756,0.7865848968328248,medaka_NZ_CP016007.1
nanopolish,0,Not_App,Not_App,0.0274117403035488,0.7559279658717285,nanopolish_CP010230.1
medaka,0,Not_App,Not_App,0.1915825482877012,0.8160615636583282,medaka_CP018206.1
nanopolish,0,Not_App,Not_App,0.0242787320834565,0.7314385131358897,nanopolish_NZ_LM995446.1
nanopolish,0,Not_App,Not_App,0.0258025696945072,0.7476869187908376,nanopolish_CP010171.1
medaka,0,Not_App,Not_App,0.182239580712546,0.8298407233765501,medaka_NC_017646.1
medaka,0,Not_App,Not_App,0.1895033699467082,0.8121429968204139,medaka_NC_011742.1
nanopolish,0,Not_App,Not_App,0.0333704510016791,0.7861688727738827,nanopolish_NC_011742.1
medaka,0,Not_App,Not_App,0.181122089101533,0.7948592146912762,medaka_NZ_CP011134.1
nanopolish,0,Not_App,Not_App,0.0305746852241217,0.8121936986719605,nanopolish_NZ_CP008697.1
nanopolish,0,Not_App,Not_App,0.0324986021489112,0.8032343442574765,nanopolish_NC_010498.1
medaka,0,Not_App,Not_App,0.147917115880979,0.7563943942378639,medaka_NC_007779.1
nanopolish,0,Not_App,Not_App,0.0327237908427752,0.8183368459930648,nanopolish_NZ_CP009859.1
medaka,0,Not_App,Not_App,0.1675108537026512,0.781278157172457,medaka_CP010116.1
medaka,0,Not_App,Not_App,0.161711171060876,0.7608708403688503,medaka_CP010170.1
nanopolish,0,Not_App,Not_App,0.0290544792696595,0.8058417450648527,nanopolish_NC_017646.1
medaka,0,Not_App,Not_App,0.1736405616727242,0.8354875418365787,medaka_NZ_CP008697.1
pandora_nanopore_nodenovo,0,0.0,1.0,0.0018695317357998,0.8493964895363568,pandora_nanopore_nodenovo
nanopolish,0,Not_App,Not_App,0.0332362720782668,0.7571379421354882,nanopolish_NZ_CP018109.1
medaka,0,Not_App,Not_App,0.1990717268768568,0.7807996111061555,medaka_NZ_CP018109.1
medaka,0,Not_App,Not_App,0.1693846506636477,0.7675385609907301,medaka_CP010171.1
nanopolish,0,Not_App,Not_App,0.028823607512562,0.7636190277617886,nanopolish_NZ_CP016007.1
medaka,0,Not_App,Not_App,0.1793726421113409,0.827523767412447,medaka_NC_010498.1
nanopolish,0,Not_App,Not_App,0.0315632466206251,0.7878052559299527,nanopolish_NZ_CP011134.1
nanopolish,0,Not_App,Not_App,0.0262793344645687,0.7206431199597702,nanopolish_CP010226.1
nanopolish,0,Not_App,Not_App,0.0278118042306635,0.7430984654712629,nanopolish_NC_011993.1
nanopolish,5,Not_App,Not_App,0.0242787320834565,0.7314385131358897,nanopolish_NZ_LM995446.1
nanopolish,5,Not_App,Not_App,0.0323507229904597,0.7825960491534938,nanopolish_NZ_HG941718.1
medaka,5,Not_App,Not_App,0.161711171060876,0.7608708403688503,medaka_CP010170.1
medaka,5,Not_App,Not_App,0.1679459370997925,0.7774092484293579,medaka_CP010230.1
nanopolish,5,Not_App,Not_App,0.0316488221806711,0.7811464028640892,nanopolish_NC_022648.1
pandora_nanopore_nodenovo,5,0.05,0.8,0.0013603912342111,0.8469091816418894,pandora_nanopore_nodenovo
medaka,5,Not_App,Not_App,0.1841645977909756,0.7865848968328248,medaka_NZ_CP016007.1
nanopolish,5,Not_App,Not_App,0.0274117403035488,0.7559279658717285,nanopolish_CP010230.1
medaka,5,Not_App,Not_App,0.1947195204831404,0.8100290739604109,medaka_NZ_CP015228.1
medaka,5,Not_App,Not_App,0.182239580712546,0.8298407233765501,medaka_NC_017646.1
medaka,5,Not_App,Not_App,0.1951874254507385,0.8439117187555988,medaka_NZ_CP009859.1
medaka,5,Not_App,Not_App,0.147917115880979,0.7563943942378639,medaka_NC_007779.1
medaka,5,Not_App,Not_App,0.1699106648276338,0.7734859163833392,medaka_NZ_CP013483.1
nanopolish,5,Not_App,Not_App,0.0315632466206251,0.7878052559299527,nanopolish_NZ_CP011134.1
nanopolish,5,Not_App,Not_App,0.0305746852241217,0.8121936986719605,nanopolish_NZ_CP008697.1
nanopolish,5,Not_App,Not_App,0.0320487771500591,0.7812728067067775,nanopolish_NZ_LT632320.1
nanopolish,5,Not_App,Not_App,0.0333704510016791,0.7861688727738827,nanopolish_NC_011742.1
nanopolish,5,Not_App,Not_App,0.0262793344645687,0.7206431199597702,nanopolish_CP010226.1
nanopolish,5,Not_App,Not_App,0.0240796591847459,0.7393312218755633,nanopolish_NC_007779.1
nanopolish,5,Not_App,Not_App,0.0317935538029448,0.7838158691859232,nanopolish_NZ_CP015228.1
medaka,5,Not_App,Not_App,0.1675108537026512,0.781278157172457,medaka_CP010116.1
medaka,5,Not_App,Not_App,0.1889375992964802,0.8053986558493239,medaka_NZ_LT632320.1
nanopolish,5,Not_App,Not_App,0.0278118042306635,0.7430984654712629,nanopolish_NC_011993.1
medaka,5,Not_App,Not_App,0.1476653897186151,0.7485865899808956,medaka_NZ_LM995446.1
medaka,5,Not_App,Not_App,0.1733465857158742,0.795391525216991,medaka_CP010121.1
nanopolish,5,Not_App,Not_App,0.0258025696945072,0.7476869187908376,nanopolish_CP010171.1
nanopolish,5,Not_App,Not_App,0.0291673213922361,0.7529407574665675,nanopolish_NZ_CP013483.1
nanopolish,5,Not_App,Not_App,0.0290544792696595,0.8058417450648527,nanopolish_NC_017646.1
nanopolish,5,Not_App,Not_App,0.0297872845732017,0.8015409590225145,nanopolish_CU928163.2
medaka,5,Not_App,Not_App,0.185713471554178,0.8067796524685884,medaka_NZ_HG941718.1
nanopolish,5,Not_App,Not_App,0.0241087243772132,0.7416484275929233,nanopolish_CP010170.1
medaka,5,Not_App,Not_App,0.1693846506636477,0.7675385609907301,medaka_CP010171.1
nanopolish,5,Not_App,Not_App,0.0332362720782668,0.7571379421354882,nanopolish_NZ_CP018109.1
nanopolish,5,Not_App,Not_App,0.0327237908427752,0.8183368459930648,nanopolish_NZ_CP009859.1
nanopolish,5,Not_App,Not_App,0.0301848458257245,0.7606646317775271,nanopolish_CP010116.1
medaka,5,Not_App,Not_App,0.1793726421113409,0.827523767412447,medaka_NC_010498.1
medaka,5,Not_App,Not_App,0.1990717268768568,0.7807996111061555,medaka_NZ_CP018109.1
medaka,5,Not_App,Not_App,0.1835571533378008,0.806057362318058,medaka_NC_022648.1
medaka,5,Not_App,Not_App,0.1915825482877012,0.8160615636583282,medaka_CP018206.1
nanopolish,5,Not_App,Not_App,0.0324986021489112,0.8032343442574765,nanopolish_NC_010498.1
nanopolish,5,Not_App,Not_App,0.0348375434386428,0.7932462679394985,nanopolish_CP018206.1
medaka,5,Not_App,Not_App,0.1747748849344274,0.7657173146661063,medaka_NC_011993.1
nanopolish,5,Not_App,Not_App,0.0269009281244331,0.7726685405407477,nanopolish_CP010121.1
medaka,5,Not_App,Not_App,0.1692631241566488,0.7411140643753763,medaka_CP010226.1
medaka,5,Not_App,Not_App,0.1736405616727242,0.8354875418365787,medaka_NZ_CP008697.1
medaka,5,Not_App,Not_App,0.181122089101533,0.7948592146912762,medaka_NZ_CP011134.1
medaka,5,Not_App,Not_App,0.18486838616929,0.8240591145263384,medaka_CU928163.2
medaka,5,Not_App,Not_App,0.1895033699467082,0.8121429968204139,medaka_NC_011742.1
nanopolish,5,Not_App,Not_App,0.028823607512562,0.7636190277617886,nanopolish_NZ_CP016007.1
pandora_nanopore_withdenovo,5,0.05,0.8,0.0020513794432924,0.8518656835363224,pandora_nanopore_withdenovo
