tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_1D,20,0.9932086614173228,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1D,20,0.996259842519685,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1D,20,0.991535433070866,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9923228346456692,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_1D,20,0.989468503937008,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9934055118110235,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9956692913385828,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9957677165354332,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_1D,20,0.9953740157480316,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9952755905511812,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9932086614173228,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9973425196850394,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9941929133858268,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_1D,20,0.969488188976378,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9838582677165354,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9955708661417324,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_7C,20,0.9660499901594174,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_7C,20,0.9660499901594174,PRG,Pandora illumina with denovo / PRG
