tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_1D,2,0.3229016786570744,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1D,2,0.2841726618705036,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_1D,2,0.26187050359712233,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_7C,2,0.6108894878706199,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_7C,2,0.6310512129380054,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_7C,2,0.218544474393531,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_7C,2,0.2560646900269542,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_7C,2,0.5010242587601078,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_7C,2,0.1967654986522911,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_7C,2,0.2774123989218329,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_7C,2,0.3764959568733154,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_7C,2,0.3490026954177898,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_7C,2,0.3887870619946092,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_7C,2,0.2894878706199461,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_7C,2,0.3193530997304582,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_7C,2,0.19514824797843666,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_7C,2,0.3576280323450135,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_7C,2,0.29412398921832883,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_7C,2,0.31223719676549866,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_7C,2,0.27773584905660376,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_7C,2,0.4987601078167116,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_7C,2,0.3665768194070081,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_7C,2,0.1969811320754717,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_7C,2,0.19719676549865228,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_7C,2,0.24172506738544475,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_7C,2,0.2348247978436657,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_7C,2,0.3363881401617251,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_7C,2,0.16754716981132076,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_7C,2,0.1631266846361186,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_8D,2,0.5665247472059606,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_8D,2,0.5723789249600851,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_8D,2,0.11309207025013306,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_8D,2,0.25891431612559873,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_8D,2,0.16365087812666312,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_8D,2,0.21660457690260776,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_8D,2,0.23948908994145826,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_8D,2,0.4382650345928685,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
