,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
534,534,nanopolish,100x,0,Not_App,Not_App,6,0.0266484017536498,1586262.3394976929,1629691.0,0.9231091060282892,6389728,6921964,0.7855765809477601,0.8076195801085763,485722,499351.1863811328,618300,nanopolish_NZ_CP008697.1
535,535,nanopolish,100x,0,Not_App,Not_App,7,0.02565414130637822,1559128.7561643596,1600180.0,0.9226679917704084,6350244,6882480,0.7800014556158468,0.8022605377519535,482271,496033.67918934405,618295,nanopolish_NZ_CP008697.1
536,536,nanopolish,100x,0,Not_App,Not_App,8,0.024487685620145028,1508033.7561643596,1545889.0,0.9218252811866948,6276052,6808288,0.7687939522937679,0.7925934906338562,475333,490047.8737630632,618284,nanopolish_NZ_CP008697.1
537,537,nanopolish,100x,0,Not_App,Not_App,9,0.023231892506020868,1415680.8101326136,1449352.0,0.9202666586768936,6142964,6675200,0.7438789670665946,0.7756187382970776,459924,479548.0022768406,618278,nanopolish_NZ_CP008697.1
538,538,nanopolish,100x,0,Not_App,Not_App,10,0.022672790641248497,1250152.9864872938,1279155.0,0.917338357098372,5906494,6438730,0.6891423691199828,0.7461517417064673,426054,461299.3604891229,618238,nanopolish_NZ_CP008697.1
539,539,medaka,100x,0,Not_App,Not_App,0,0.18132628103142576,1586696.9136182815,1938131.0,0.9034926786849348,6275493,6945815,0.7985266171226175,0.7948627532218222,493733,491467.61463081883,618305,medaka_NZ_CP011134.1
540,540,medaka,100x,0,Not_App,Not_App,1,0.17708641195510233,1582629.058355123,1923202.0,0.9034812979013956,6274674,6944996,0.7981740403199068,0.7946510635804217,493515,491336.72586709255,618305,medaka_NZ_CP011134.1
541,541,medaka,100x,0,Not_App,Not_App,2,0.16863659874109493,1575460.2490144654,1895032.0,0.9034591400584324,6273080,6943402,0.7975141718084117,0.7942470614833024,493107,491086.9293504333,618305,medaka_NZ_CP011134.1
542,542,medaka,100x,0,Not_App,Not_App,3,0.1531408658325507,1561100.127924276,1843400.0,0.9033756301531366,6267079,6937401,0.7956299530972021,0.7929416440480548,491938,490275.8185149123,618300,medaka_NZ_CP011134.1
543,543,medaka,100x,0,Not_App,Not_App,4,0.12954049000817291,1538342.200980316,1767276.0,0.9031773345044692,6252871,6923193,0.7908426750943341,0.7899548542191411,488963,488414.0772214648,618281,medaka_NZ_CP011134.1
544,544,medaka,100x,0,Not_App,Not_App,5,0.09702892158308353,1490980.4268555418,1651194.0,0.9025741781065216,6210010,6880332,0.7779771042376733,0.7821663138129655,480940,483529.7400349786,618193,medaka_NZ_CP011134.1
545,545,medaka,100x,0,Not_App,Not_App,6,0.06852289486445651,1230156.1703743606,1320651.0,0.8983399610631929,5923439,6593761,0.7140974156357277,0.7420441915857369,440998,458256.8109556877,617560,medaka_NZ_CP011134.1
546,546,medaka,100x,0,Not_App,Not_App,7,0.3487005531880403,42596.9377198426,65403.0,0.8687125655558753,4435437,5105759,0.056203197931018765,0.5538729914306074,34510,340090.20194420445,614022,medaka_NZ_CP011134.1
547,547,medaka,100x,0,Not_App,Not_App,8,0.6049675551162668,5795.52099888925,14671.0,0.8666458707631414,4356309,5026631,0.01095272032238442,0.5424600949897335,6716,332626.2235058998,613181,medaka_NZ_CP011134.1
548,548,medaka,100x,0,Not_App,Not_App,9,0.6417297115977117,3660.089266317777,10216.0,0.866560576882115,4353096,5023418,0.008702347105388931,0.5418905976425592,5335,332207.65655656386,613053,medaka_NZ_CP011134.1
549,549,medaka,100x,0,Not_App,Not_App,10,0.6481725421135116,2993.3480116982428,8508.0,0.8665366654733742,4352196,5022518,0.008352283664433953,0.5417025767987385,5120,332066.9297930875,613006,medaka_NZ_CP011134.1
