tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Nanopolish,Escherichia_coli_MSB1_4I,0.8738918398076102,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9282142880213952,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8580719363042976,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8394507812665635,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,063_STEC,0.8861142039128359,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Pandora nanopore no denovo,Escherichia_coli_MSB2_1A,0.864145691302399,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MINF_8D,0.8628325683473438,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9029861077831558,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9162211025407474,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,063_STEC,0.9291218210416556,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9194299407406916,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8627560545474512,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.908665099248006,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB2_1A,0.9082116486990164,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.906015163902297,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9086997299832152,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8602605280005209,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9749190847901804,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.8647564079377436,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.906977109921131,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8594484646145163,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9266898503386036,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,063_STEC,0.8753600904865418,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9084439545694158,SMS-3-5 (NC_010498.1),Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9138710556223634,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_7A,0.8598437466873026,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9271741732017402,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9018330892771392,VR50 (NZ_CP011134.1),Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8441878719237779,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8848810208444102,09-00049 (NZ_CP015228.1),Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8646638800392192,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Pandora nanopore no denovo,Escherichia_coli_MINF_9A,0.8834452603724167,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_8G,0.934357886013148,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8528400979321838,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Pandora nanopore no denovo,Escherichia_coli_MINF_1A,0.8881757869781203,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_6C,0.8610265981014783,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8822926830586766,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8372817769753255,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,H131800734,0.8953016994217344,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8772328177522721,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9248346740267196,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,CFT073,0.8749023615866194,09-00049 (NZ_CP015228.1),Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,CFT073,0.8589421242232645,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8446661636992698,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8914226598765689,09-00049 (NZ_CP015228.1),Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8676915640650384,Y5 (NZ_CP013483.1),Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8495771358760139,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,H131800734,0.9455255027372758,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_8D,0.8880283990304447,S88 (NC_011742.1),Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8386267212100825,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8573368726464596,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.87327183374175,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9221737671922172,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8675827502217467,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_8D,0.8840630783953058,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9021235017544978,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.8914811582123041,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8927978501430869,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.884984583327467,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9001299517084828,ST648 (NZ_CP008697.1),Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8452293083040553,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,ST38,0.8863265726802819,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8639332730378856,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.8767164938050267,Y5 (NZ_CP013483.1),Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8598239481567791,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8608190048126868,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9000408295436947,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_7A,0.8675769075836921,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_1A,0.9322961690624691,ST648 (NZ_CP008697.1),Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9175056827856868,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9292156503864728,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Pandora nanopore with denovo,Escherichia_coli_MINF_9A,0.8791756181240632,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_3B,0.8575533073677553,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8910453409630761,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,H131800734,0.9337975813836722,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9106022218924248,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9276157077123194,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,ST38,0.8641528831275913,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_6C,0.8569610225701204,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_7A,0.8677094154811626,S88 (NC_011742.1),Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8476752302498458,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9184970424237284,ST648 (NZ_CP008697.1),Nanopolish / ST648 (NZ_CP008697.1)
Pandora nanopore with denovo,Escherichia_coli_MSB1_3B,0.8815223649037642,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_9D,0.9464249842458798,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.9227883332067404,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9166281686115108,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,063_STEC,0.8575720622801901,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9142783237065799,SMS-3-5 (NC_010498.1),Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9134669570847062,SMS-3-5 (NC_010498.1),Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9040225242030506,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,CFT073,0.8660809009548163,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9150447304611772,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8890694343471609,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8713186607321658,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8430767317968414,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,H131800734,0.8986451982848878,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
