FIRST_SAMPLE,SECOND_SAMPLE,count
MSB1_8B,MINF_7C,290
MSB1_8B,MINF_8D,46
MSB1_8B,MINF_9A,901
MSB1_8B,MSB1_1A,32
MSB1_8B,MSB1_3B,0
MSB1_8B,MSB1_4E,127
MSB1_8B,MSB1_4I,636
MSB1_8B,MSB1_6C,273
MSB1_8B,MSB1_7A,0
MSB1_8B,MSB1_7C,882
MSB1_8B,MSB1_8B,0
MSB1_8B,MSB1_8G,122
MSB1_8B,MSB1_9D,280
MSB1_8B,MSB2_1A,394
MSB1_8B,ST38,829
MSB1_8G,063_STEC,7
MSB1_8G,CFT073,4
MSB1_8G,H131800734,23
MSB1_8G,MINF_1A,27
MSB1_8G,MINF_1D,10
MSB1_8G,MINF_7C,77
MSB1_8G,MINF_8D,8
MSB1_8G,MINF_9A,11
MSB1_8G,MSB1_1A,9
MSB1_8G,MSB1_3B,28
MSB1_8G,MSB1_4E,470
MSB1_8G,MSB1_4I,141
MSB1_8G,MSB1_6C,24
MSB1_8G,MSB1_7A,2
MSB1_8G,MSB1_7C,101
MSB1_8G,MSB1_8B,122
MSB1_8G,MSB1_8G,0
MSB1_8G,MSB1_9D,2
MSB1_8G,MSB2_1A,19
MSB1_8G,ST38,130
MSB1_9D,063_STEC,349
MSB1_9D,CFT073,136
MSB1_9D,H131800734,1195
MSB1_9D,MINF_1A,185
MSB1_9D,MINF_1D,166
MSB1_9D,MINF_7C,288
MSB1_9D,MINF_8D,138
MSB1_9D,MINF_9A,376
MSB1_9D,MSB1_1A,50
MSB1_9D,MSB1_3B,27
MSB1_9D,MSB1_4E,187
MSB1_9D,MSB1_4I,316
MSB1_9D,MSB1_6C,422
MSB1_9D,MSB1_7A,9
MSB1_9D,MSB1_7C,126
MSB1_9D,MSB1_8B,280
MSB1_9D,MSB1_8G,2
MSB1_9D,MSB1_9D,0
MSB1_9D,MSB2_1A,360
MSB1_9D,ST38,323
MSB2_1A,063_STEC,365
MSB2_1A,CFT073,183
MSB2_1A,H131800734,576
MSB2_1A,MINF_1A,147
MSB2_1A,MINF_1D,266
MSB2_1A,MINF_7C,1360
MSB2_1A,MINF_8D,90
MSB2_1A,MINF_9A,370
MSB2_1A,MSB1_1A,4
MSB2_1A,MSB1_3B,0
MSB2_1A,MSB1_4E,1370
MSB2_1A,MSB1_4I,450
MSB2_1A,MSB1_6C,70
MSB2_1A,MSB1_7A,0
MSB2_1A,MSB1_7C,412
MSB2_1A,MSB1_8B,394
MSB2_1A,MSB1_8G,19
MSB2_1A,MSB1_9D,360
MSB2_1A,MSB2_1A,0
MSB2_1A,ST38,747
ST38,063_STEC,395
ST38,CFT073,192
ST38,H131800734,331
ST38,MINF_1A,842
ST38,MINF_1D,250
ST38,MINF_7C,845
ST38,MINF_8D,233
ST38,MINF_9A,923
ST38,MSB1_1A,75
ST38,MSB1_3B,480
ST38,MSB1_4E,122
ST38,MSB1_4I,465
ST38,MSB1_6C,122
ST38,MSB1_7A,0
ST38,MSB1_7C,359
ST38,MSB1_8B,829
ST38,MSB1_8G,130
ST38,MSB1_9D,323
ST38,MSB2_1A,747
ST38,ST38,0
